,"OKFFI ry 2014","school of data.fi","Datademo 2014 / Open Knowledge Finland ry","Avoin GLAM 2014 / Open Knowledge Finland ry","Tukea avoimeen lisensointiin -projekti / Open Knowledge Finland ry","My Data  / Open Knowledge Finland ry","Open Decisions / OKF FInland","OKFFI - Open Knowledge Roadshow 2013","D-CENT / Open Knowledge Finland ry","Sujuvuusnavigaattori / Open Knowledge Finland ry","6. aika / Open Knowledge Finland ry","Kohti avointa kulttuuria -projekti / Open Knowledge Finland ry","Apps4Finland / Open Knowledge Finland ry","OKFFI ry 2013"
"Office and venue costs",-1564.23,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Matkakustannukset",-0,-0,-0,-0,-0,-743.50,-0,-4893.15,-0,-0,-0,-0,-0,-0
"OKFFI-lainan maksu",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.00,-0,-0,-0,-0
"Sovelluskehitys",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0.00,-0,-0,-0,-0
"Muut kulut",-0,-0,-0,-0,-0,-184.95,-0,-0,-0,-0,-0,-525.58,-0,-0
"Working groups",-82.93,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"AvoinGLAM-työpajojen palkkiot",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-2792.50,-0,-0
"Verkkosivut, markkinointi, yms.",-0,-0,-389.86,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Materiaalin tuotanto",-0,-0,-0,-0,-0.00,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Kiertueen jälkityöprojektit",-0,-0,-0,-0,-0,-0,-0,-15559.89,-0,-0,-0,-0,-0,-0
"Mestarikurssin lounastarjoilu",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-1259.92,-0,-0
"Verkoston matkakulut",-0,-0,-0,-0,-0.00,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Palkat",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-16963.35,-0,-0
"Loans",-3000.00,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Accommodation",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-3570.00
"Mgmt overhead WP4",-0,-0,-0,-0,-0,-0,-0,-0,-0.00,-0,-0,-0,-0,-0
"Audit",-1116.00,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"Työkorvaukset",-0,-0,-0,-0,-0,-0,-0,-7190.00,-0,-0,-0,-0,-0,-0
"IT, domains, services",-2211.71,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
"IT and domains",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-339.40
"Tilavuokrat",-0,-0,-0,-0,-0,-0,-100.00,-0,-0,-0,-0,-0,-0,-0
"Service fees",-61.20,-0.90,-33.30,-1.80,-26.10,-13.50,-5.40,-96.30,-0.90,-4.50,-3.60,-63.90,-0,-206.58
"Yleiskulut",-0,-0,-0,-0,-0,-0,-0,-0,-0,-122.69,-0,-0,-0,-0
"Datademo-hanke",-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-13000.00
"Kokoustarjoilut",-0,-0,-0,-0,-0,-0,-39.74,-0,-0,-0,-0,-0,-0,-0
